                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3242,                 1.0691,                 1.2221,                0.66342,                0.68841,                0.71019,                0.36269,                 1.6353,                 1.1402,                  1.403,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.2954,                 1.0453,                 1.1951,                0.75457,                0.66667,                0.71962,                0.32867,                 1.6523,                 1.1552,                 1.4384,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3003,                 1.0225,                 1.2083,                0.77848,                0.73913,                0.74869,                0.35307,                 1.6262,                 1.1403,                 1.4085,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2991,                 1.0379,                 1.2096,                0.70401,                0.72464,                0.71401,                0.35661,                 1.6137,                 1.1735,                 1.4005,               0.001307,               0.001307,               0.001307
                     38,                 1.2848,                 1.0161,                  1.191,                0.70203,                0.73188,                0.73861,                0.35973,                 1.6591,                 1.2667,                  1.429,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.3073,                 1.0174,                 1.2016,                0.70354,                0.68841,                0.67514,                0.32471,                 1.6816,                 1.2561,                 1.4445,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2726,                 1.0069,                 1.1984,                0.78054,                0.62319,                 0.6951,                0.35113,                 1.6258,                 1.1886,                 1.3814,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2621,                0.98816,                 1.1959,                0.77609,                0.65304,                0.74941,                0.36275,                 1.6336,                 1.1556,                 1.4148,              0.0012278,              0.0012278,              0.0012278
                     42,                  1.233,                 0.9676,                 1.1576,                0.78966,                0.63768,                0.72369,                0.35177,                 1.6877,                 1.2987,                 1.4307,               0.001208,               0.001208,               0.001208
                     43,                 1.2111,                0.94954,                 1.1499,                0.60063,                0.76087,                0.73734,                0.35782,                 1.6721,                 1.1968,                 1.4494,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2158,                0.95377,                 1.1636,                0.68684,                0.69565,                0.72583,                0.34107,                   1.68,                 1.1105,                 1.4481,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2134,                0.95792,                  1.153,                0.78769,                0.65217,                0.75571,                0.37287,                 1.6897,                 1.2522,                  1.422,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1892,                0.92535,                 1.1495,                0.82149,                0.62319,                0.73429,                0.36689,                 1.5943,                 1.1529,                  1.395,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2011,                0.91923,                 1.1492,                0.66605,                0.71014,                0.71591,                0.34805,                  1.663,                 1.2688,                 1.3825,               0.001109,               0.001109,               0.001109
                     48,                 1.1898,                0.92966,                 1.1559,                0.66574,                0.69277,                0.69037,                0.33809,                  1.657,                 1.2728,                 1.4463,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.166,                0.91085,                 1.1518,                0.73142,                0.63043,                0.72163,                0.37437,                 1.5947,                 1.2287,                 1.3879,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1649,                0.89959,                  1.139,                0.70363,                0.65217,                0.70643,                 0.3512,                 1.6507,                 1.3082,                 1.4285,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1999,                0.90125,                 1.1516,                0.72406,                0.67391,                 0.7537,                0.38382,                 1.6266,                 1.1333,                 1.4013,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1545,                0.88824,                 1.1377,                0.76452,                0.63043,                 0.7206,                0.34921,                 1.7049,                 1.2571,                 1.4875,                0.00101,                0.00101,                0.00101
                     53,                 1.1483,                0.87387,                 1.1222,                0.77328,                0.68116,                0.74862,                0.37768,                 1.6474,                  1.135,                 1.4451,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1446,                0.87919,                 1.1289,                0.72243,                0.66011,                0.73643,                0.36801,                 1.6883,                 1.1453,                 1.4728,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1492,                0.85183,                 1.1349,                0.75172,                0.72401,                0.78052,                 0.3683,                 1.6356,                 1.1488,                 1.4247,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1387,                0.84646,                  1.123,                0.74981,                 0.7029,                0.72774,                0.34412,                 1.6819,                 1.1692,                 1.4455,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1059,                0.85499,                 1.1112,                0.78514,                0.63043,                0.74447,                0.37291,                 1.6296,                 1.1469,                 1.4355,               0.000911,               0.000911,               0.000911
                     58,                 1.0913,                0.82782,                 1.0949,                0.83675,                0.61594,                0.72962,                0.35897,                 1.5914,                 1.1081,                 1.3915,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1371,                0.84659,                 1.1111,                0.76123,                0.71739,                0.75711,                0.37169,                 1.6167,                 1.1219,                 1.4095,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0728,                0.81308,                 1.0896,                0.78989,                0.65217,                0.72774,                0.36279,                 1.6349,                 1.1549,                 1.4284,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.086,                0.81784,                 1.1014,                0.80995,                0.64853,                 0.7248,                0.34963,                 1.7205,                 1.2018,                 1.5065,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0792,                0.81806,                 1.0965,                0.68812,                0.73913,                0.71107,                0.35279,                 1.7006,                 1.2037,                  1.463,               0.000812,               0.000812,               0.000812
                     63,                 1.0667,                0.82488,                 1.0926,                0.80612,                0.63768,                0.75704,                0.34531,                 1.6882,                 1.2155,                 1.4618,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0898,                0.79142,                 1.0903,                0.72507,                0.72622,                0.74032,                0.36017,                 1.6375,                 1.1267,                 1.4584,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0435,                0.80507,                 1.0806,                0.74883,                0.71739,                0.73327,                0.36331,                 1.7252,                 1.1897,                 1.4689,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0342,                0.79337,                 1.0783,                0.75835,                0.66667,                0.73094,                0.36435,                 1.6735,                 1.1555,                 1.4975,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0492,                 0.7655,                 1.0758,                0.77621,                0.69565,                 0.7418,                0.36294,                 1.7086,                 1.1765,                 1.5032,               0.000713,               0.000713,               0.000713
                     68,                 1.0409,                 0.7703,                 1.0835,                0.75905,                0.68841,                0.74185,                0.35966,                 1.7474,                 1.1859,                 1.5583,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0493,                  0.776,                 1.0781,                0.82621,                0.72347,                0.77535,                0.38398,                 1.6707,                 1.0778,                 1.4875,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0332,                0.77003,                 1.0718,                0.83213,                0.65217,                 0.7679,                0.38284,                 1.6493,                 1.1825,                 1.4656,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0161,                0.73542,                 1.0744,                0.68424,                0.78261,                0.76757,                0.38335,                 1.6441,                 1.1339,                 1.4358,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0101,                 0.7468,                 1.0681,                0.75477,                0.69565,                0.74111,                0.36908,                 1.6701,                 1.2512,                 1.4384,               0.000614,               0.000614,               0.000614
                     73,                 0.9938,                 0.7389,                 1.0651,                0.81942,                0.69051,                0.73268,                0.34511,                   1.64,                  1.233,                  1.475,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0095,                0.74614,                 1.0587,                0.76343,                0.74638,                  0.771,                0.37734,                 1.7115,                 1.1708,                 1.5255,              0.0005744,              0.0005744,              0.0005744
                     75,                0.98258,                0.70971,                  1.061,                0.85427,                0.66667,                0.76002,                0.35368,                 1.7432,                 1.2019,                 1.5863,              0.0005546,              0.0005546,              0.0005546
                     76,                0.97928,                0.72237,                 1.0629,                0.78066,                0.67058,                0.72852,                 0.3513,                 1.6718,                 1.1601,                 1.5225,              0.0005348,              0.0005348,              0.0005348
                     77,                0.98239,                0.72708,                 1.0515,                 0.7575,                0.69565,                0.74355,                0.35236,                 1.7129,                 1.1913,                 1.5577,               0.000515,               0.000515,               0.000515
                     78,                0.97459,                0.72014,                 1.0452,                0.84056,                0.63768,                0.72353,                0.33991,                 1.7256,                 1.1513,                  1.566,              0.0004952,              0.0004952,              0.0004952
                     79,                0.94979,                 0.6977,                 1.0484,                0.80082,                0.69925,                0.74022,                0.36245,                 1.6574,                 1.1207,                  1.495,              0.0004754,              0.0004754,              0.0004754
                     80,                0.97276,                0.70002,                 1.0435,                0.78386,                0.66667,                0.71505,                0.34841,                 1.7049,                   1.29,                  1.538,              0.0004556,              0.0004556,              0.0004556
                     81,                0.94521,                0.70215,                  1.042,                0.73627,                0.74638,                0.73312,                0.35782,                 1.6826,                 1.2469,                 1.4999,              0.0004358,              0.0004358,              0.0004358
                     82,                0.94797,                0.69495,                 1.0357,                0.69757,                0.73542,                0.73332,                0.36912,                 1.6659,                 1.1846,                 1.5056,               0.000416,               0.000416,               0.000416
                     83,                0.93592,                0.67818,                 1.0209,                0.72447,                0.71014,                0.74036,                0.36438,                 1.6623,                 1.1748,                 1.5096,              0.0003962,              0.0003962,              0.0003962
                     84,                0.94439,                0.68691,                  1.025,                0.76255,                0.71739,                0.74825,                0.37925,                 1.6081,                 1.1814,                 1.4595,              0.0003764,              0.0003764,              0.0003764
                     85,                0.95919,                0.68387,                 1.0333,                0.80013,                 0.6672,                0.73682,                0.36359,                 1.6808,                 1.2468,                 1.5085,              0.0003566,              0.0003566,              0.0003566
                     86,                0.90349,                0.66881,                 1.0221,                 0.7463,                0.69565,                0.73561,                0.36879,                 1.6544,                 1.2077,                 1.5154,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.9013,                0.65866,                  1.024,                0.77159,                0.71739,                0.75591,                0.37012,                 1.7027,                 1.2578,                 1.5314,               0.000317,               0.000317,               0.000317
                     88,                 0.8759,                0.64441,                 1.0189,                0.75601,                0.71739,                0.72685,                0.36338,                 1.6816,                 1.1872,                 1.5232,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.8912,                0.65291,                 1.0215,                0.72148,                0.72464,                0.74501,                0.37221,                 1.6645,                 1.2308,                 1.4997,              0.0002774,              0.0002774,              0.0002774
